Interactor_A	Interactor_B	Interaction Detection Method	Publication 1st Author	Publication Identifiers
STAG1	SMC3	psi-mi:"MI:0096"(pull down)	Gandhi R (2006)	pubmed:17112726
SMC1A	BRCA1	psi-mi:"MI:0004"(affinity chromatography technology)	Yazdi PT (2002)	pubmed:11877377
ATM	SMC1A	psi-mi:"MI:0415"(enzymatic study)	Yazdi PT (2002)	pubmed:11877377
HDAC5	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Greco TM (2011)	pubmed:21081666
HDAC5	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Greco TM (2011)	pubmed:21081666
AFF1	BRD4	psi-mi:"MI:0004"(affinity chromatography technology)	Benedikt A (2011)	pubmed:21030982
SMC3	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Schmitz J (2007)	pubmed:17349791
SMC3	RAD21	psi-mi:"MI:0004"(affinity chromatography technology)	Schmitz J (2007)	pubmed:17349791
SMC3	STAG1	psi-mi:"MI:0004"(affinity chromatography technology)	Schmitz J (2007)	pubmed:17349791
SMC3	STAG2	psi-mi:"MI:0004"(affinity chromatography technology)	Schmitz J (2007)	pubmed:17349791
SMC3	PDS5A	psi-mi:"MI:0004"(affinity chromatography technology)	Schmitz J (2007)	pubmed:17349791
SMC3	PDS5B	psi-mi:"MI:0004"(affinity chromatography technology)	Schmitz J (2007)	pubmed:17349791
CEP63	SMC3	psi-mi:"MI:0018"(two hybrid)	Camargo LM (2007)	pubmed:17043677
TRAF3IP1	SMC3	psi-mi:"MI:0018"(two hybrid)	Camargo LM (2007)	pubmed:17043677
C8orf33	BRD4	psi-mi:"MI:0018"(two hybrid)	Vinayagam A (2011)	pubmed:21900206
BRD4	CDK9	psi-mi:"MI:0004"(affinity chromatography technology)	Zippo A (2009)	pubmed:19766566
KAT8	BRD4	psi-mi:"MI:0428"(imaging technique)	Zippo A (2009)	pubmed:19766566
